 Size: 5; Insert: 2; QuickSort: 4
 Size: 6; Insert: 3; QuickSort: 6
 Size: 7; Insert: 4; QuickSort: 7
 Size: 8; Insert: 5; QuickSort: 9
 Size: 9; Insert: 6; QuickSort: 9
 Size: 10; Insert: 8; QuickSort: 11
 Size: 11; Insert: 8; QuickSort: 12
 Size: 12; Insert: 10; QuickSort: 13
 Size: 13; Insert: 10; QuickSort: 14
 Size: 14; Insert: 12; QuickSort: 17
 Size: 15; Insert: 15; QuickSort: 18
 Size: 16; Insert: 15; QuickSort: 18
 Size: 17; Insert: 16; QuickSort: 20
 Size: 18; Insert: 26; QuickSort: 30
 Size: 19; Insert: 30; QuickSort: 32
 Size: 20; Insert: 22; QuickSort: 24
 Size: 21; Insert: 24; QuickSort: 26
 Size: 22; Insert: 27; QuickSort: 28
 Size: 23; Insert: 30; QuickSort: 31
 Size: 24; Insert: 36; QuickSort: 34
 Size: 25; Insert: 36; QuickSort: 36
 Size: 26; Insert: 38; QuickSort: 36
 Size: 27; Insert: 40; QuickSort: 36
 Size: 28; Insert: 42; QuickSort: 37
 Size: 29; Insert: 44; QuickSort: 38
 Size: 30; Insert: 48; QuickSort: 41
 Size: 31; Insert: 50; QuickSort: 42
 Size: 32; Insert: 62; QuickSort: 48
 Size: 33; Insert: 71; QuickSort: 54
 Size: 34; Insert: 62; QuickSort: 48
 Size: 35; Insert: 63; QuickSort: 47
 Size: 36; Insert: 66; QuickSort: 49
 Size: 37; Insert: 70; QuickSort: 51
 Size: 38; Insert: 89; QuickSort: 60
 Size: 39; Insert: 87; QuickSort: 60
 Size: 40; Insert: 83; QuickSort: 58
 Size: 41; Insert: 89; QuickSort: 60
 Size: 42; Insert: 91; QuickSort: 60
 Size: 43; Insert: 99; QuickSort: 67
 Size: 44; Insert: 114; QuickSort: 70
 Size: 45; Insert: 103; QuickSort: 64
 Size: 46; Insert: 125; QuickSort: 75
 Size: 47; Insert: 116; QuickSort: 74
 Size: 48; Insert: 127; QuickSort: 74
 Size: 49; Insert: 120; QuickSort: 71
 Size: 50; Insert: 125; QuickSort: 73
 Size: 51; Insert: 137; QuickSort: 78
 Size: 52; Insert: 154; QuickSort: 87
 Size: 53; Insert: 141; QuickSort: 79
 Size: 54; Insert: 150; QuickSort: 82
 Size: 55; Insert: 162; QuickSort: 88
 Size: 56; Insert: 161; QuickSort: 87
 Size: 57; Insert: 164; QuickSort: 87
 Size: 58; Insert: 274; QuickSort: 130
 Size: 59; Insert: 187; QuickSort: 94
 Size: 60; Insert: 191; QuickSort: 96
 Size: 61; Insert: 189; QuickSort: 94
 Size: 62; Insert: 218; QuickSort: 106
 Size: 63; Insert: 214; QuickSort: 104
 Size: 64; Insert: 205; QuickSort: 99
 Size: 65; Insert: 242; QuickSort: 115
 Size: 66; Insert: 233; QuickSort: 112
 Size: 67; Insert: 226; QuickSort: 107
 Size: 68; Insert: 233; QuickSort: 110
 Size: 69; Insert: 252; QuickSort: 115
 Size: 70; Insert: 287; QuickSort: 131
 Size: 71; Insert: 257; QuickSort: 114
 Size: 72; Insert: 278; QuickSort: 123
 Size: 73; Insert: 301; QuickSort: 128
 Size: 74; Insert: 292; QuickSort: 125
 Size: 75; Insert: 277; QuickSort: 120
 Size: 76; Insert: 322; QuickSort: 135
 Size: 77; Insert: 300; QuickSort: 126
 Size: 78; Insert: 330; QuickSort: 141
 Size: 79; Insert: 400; QuickSort: 151
 Size: 80; Insert: 327; QuickSort: 132
 Size: 81; Insert: 343; QuickSort: 137
 Size: 82; Insert: 331; QuickSort: 134
 Size: 83; Insert: 352; QuickSort: 144
 Size: 84; Insert: 357; QuickSort: 142
 Size: 85; Insert: 366; QuickSort: 147
 Size: 86; Insert: 416; QuickSort: 156
 Size: 87; Insert: 373; QuickSort: 142
 Size: 88; Insert: 415; QuickSort: 163
 Size: 89; Insert: 412; QuickSort: 162
 Size: 90; Insert: 494; QuickSort: 170
 Size: 91; Insert: 424; QuickSort: 149
 Size: 92; Insert: 455; QuickSort: 164
 Size: 93; Insert: 468; QuickSort: 165
 Size: 94; Insert: 529; QuickSort: 187
 Size: 95; Insert: 453; QuickSort: 161
 Size: 96; Insert: 503; QuickSort: 172
 Size: 97; Insert: 522; QuickSort: 183
 Size: 98; Insert: 530; QuickSort: 177
 Size: 99; Insert: 489; QuickSort: 170
 Size: 100; Insert: 496; QuickSort: 172
